Year ,Team1,Team2,Winner,Round
2021,Gonzaga,Norfolk St.,Gonzaga,64
2021,Oklahoma,Missouri,Oklahoma,64
2021,Creighton,UC Santa Barbara,Creighton,64
2021,Ohio,Virginia,Ohio,64
2021,USC,Drake,USC,64
2021,Kansas,Eastern Washington,Kansas,64
2021,Oregon,VCU,Oregon,64
2021,Iowa,Grand Canyon,Iowa,64
2021,Michigan,Texas Southern,Michigan,64
2021,LSU,St. Bonaventure,LSU,64
2021,Colorado,Georgetown,Colorado,64
2021,Florida St.,UNC Greensboro,Florida St.,64
2021,UCLA,BYU,UCLA,64
2021,Abilene Christian,Texas,Abilene Christian,64
2021,Connecticut,Maryland,Connecticut,64
2021,Alabama,Iona,Alabama,64
2021,Baylor,Hartford,Baylor,64
2021,Wisconsin,North Carolina,Wisconsin,64
2021,Villanova,Winthrop,Villanova,64
2021,North Texas,Purdue,North Texas,64
2021,Texas Tech,Utah St.,Texas Tech,64
2021,Arkansas,Colgate,Arkansas,64
2021,Florida,Virginia Tech,Florida,64
2021,Oral Roberts,Ohio St.,Oral Roberts,64
2021,Illinois,Drexel,Illinois,64
2021,Loyola Chicago,Georgia Tech,Loyola Chicago,64
2021,Oregon St.,tennessee,Oregon St.,64
2021,Oklahoma St.,Liberty,Oklahoma St.,64
2021,Syracuse,San Diego St.,Syracuse,64
2021,West Virginia,Morehead St.,West Virginia,64
2021,Rutgers,Clemson,Rutgers,64
2021,Houston,Cleveland St.,Houston,64
2021,Gonzaga,Oklahoma,Gonzaga,32
2021,Creighton,Ohio,Creighton,32
2021,USC,Kansas,USC,32
2021,Oregon,Iowa,Oregon,32
2021,Michigan,LSU,Michigan,32
2021,Florida St.,Colorado,Florida St.,32
2021,UCLA,Abilene Christian,UCLA,32
2021,Alabama,Maryland,Alabama,32
2021,Baylor,Wisconsin,Baylor,32
2021,Villanova,North Texas,Villanova,32
2021,Arkansas,Texas Tech,Arkansas,32
2021,Oral Roberts,Florida,Oral Roberts,32
2021,Loyola Chicago,Illinois,Loyola Chicago,32
2021,Oregon St.,Oklahoma,Oregon St.,32
2021,Syracuse,West Virginia,Syracuse,32
2021,Houston,Rutgers,Houston,32
2021,Gonzaga,Creighton,Gonzaga,16
2021,USC,Oregon,USC,16
2021,Michigan,Florida St.,Michigan,16
2021,UCLA,Alabama,UCLA,16
2021,Baylor,Villanova,Baylor,16
2021,Arkansas,Oral Roberts,Arkansas,16
2021,Oregon St.,Loyola Chicago,Oregon St.,16
2021,Houston,Syracuse,Houston,16
2021,Gonzaga,USC,Gonzaga,8
2021,UCLA,Michigan,UCLA,8
2021,Baylor,Arkansas,Baylor,8
2021,Houston,Oregon St.,Houston,8
2021,Gonzaga,UCLA,Gonzaga,4
2021,Baylor,Houston,Baylor,4
2021,Baylor,Gonzaga,Baylor,2
